QC,company_name,domain,Confidence Level,Vmware Detection,Firmo Status,keyword,company_url,AWS - Previous Detected Date,AWS - Last Detected Link,AWS - Last Detected Date,Remark,
Krishna,FB Rice,http://www.fbrice.com.au/,HIGH,VMware,,CodeDeploy,https://www.fbrice.com.au/ip-news-insights/lost-property-in-biotech-ip-opportunities-and-risks-in-software-and-big-data/,,,,,https://www.fbrice.com.au/ip-news-insights/lost-property-in-biotech-ip-opportunities-and-risks-in-software-and-big-data/
Krishna,FHI 360 Indonesia,https://www.fhi360.org,HIGH,VMware,Working,AWS,https://www.fhi360.org/resources/aws-educate-impact-stories/,,,,,https://www.fhi360.org/resources/aws-educate-impact-stories/
Krishna,Fildelity Asset Management,http://www.fidelity.com/,HIGH,VMware,,Lambda,https://www.fidelity.com/bin-public/060_www_fidelity_com/external_fcat/documents/A-guide-to-designing-a-conversational-digital-human-avatar-final.pdf,,,,,https://www.fidelity.com/bin-public/060_www_fidelity_com/external_fcat/documents/A-guide-to-designing-a-conversational-digital-human-avatar-final.pdf
Krishna,FIS (SunGard),http://www.fisglobal.com/,HIGH,VMware,Working,AWS,https://www.fisglobal.com/-/media/fisglobal/files/pdf/white-paper/mbp_cloud-enabled-core-banking_white-paper.pdf,,,,,https://www.fisglobal.com/-/media/fisglobal/files/pdf/white-paper/mbp_cloud-enabled-core-banking_white-paper.pdf
Krishna,Focus Systems Corporation,http://www.focus-s.com,HIGH,VMware,,WAF,https://www.focus-s.com/note/0018,,,,,https://www.focus-s.com/note/0018
Krishna,Frequentis Australasia,http://www.frequentis.com/,HIGH,VMware,,EC2,https://www.frequentis.com/sites/default/files/support/2021-12/D3.1%20Report%20on%20State-of-the-Art%20of%20Relevant%20Concepts.pdf,,,,,https://www.frequentis.com/sites/default/files/support/2021-12/D3.1%20Report%20on%20State-of-the-Art%20of%20Relevant%20Concepts.pdf
Krishna,Galexia,http://www.galexia.com/,HIGH,VMware,,Shield,https://www.galexia.com/public/about/news/print-index.html,,,,,https://www.galexia.com/public/about/news/print-index.html
Krishna,GE Healthcare,http://www.gehealthcare.com/,LOW,VMware,,CloudFront,https://www.gehealthcare.com/products/advanced-visualization/platforms/aw-server?srsltid=AfmBOooX4eTUTqPpAv74SmyfYY0mBzdUMWwycNSa04eam9ogH5aqzf4p,,,,,https://www.gehealthcare.com/products/advanced-visualization/platforms/aw-server?srsltid=AfmBOooX4eTUTqPpAv74SmyfYY0mBzdUMWwycNSa04eam9ogH5aqzf4p
Krishna,Gilead (APAC),http://www.gilead.com/,HIGH,VMware,Working,AWS,https://www.gilead.com/-/media/gileadcorpredesign/pdf/company/annual-esg-reports/2024-responsible-business-and-impact-report.pdf,,,,,https://www.gilead.com/-/media/gileadcorpredesign/pdf/company/annual-esg-reports/2024-responsible-business-and-impact-report.pdf
Krishna,,,HIGH,VMware,,Amazon EC2,https://gits.id/blog/aws-vs-google-cloud-mana-lebih-bagus/,,,,,https://gits.id/blog/aws-vs-google-cloud-mana-lebih-bagus/
Krishna,Givaudan Japan K.K.,www.givaudan.com,HIGH,VMware,Working,AWS,https://www.givaudan.com/files/giv-2021-cdp-questionnaire-water.pdf,,,,,https://www.givaudan.com/files/giv-2021-cdp-questionnaire-water.pdf
Krishna,GLAXOSMITHKLINE K.K.,https://www.gsk.com/,HIGH,VMware,,S3,https://www.gsk.com/media/iwxac4h1/annual-report-2023.pdf,,,,,https://www.gsk.com/media/iwxac4h1/annual-report-2023.pdf
Krishna,Global Wavenet Pte Ltd,http://www.globalwavenet.com/,HIGH,VMware,Working,AWS,https://globalwavenet.com/blog-posts/wavenet-launches-a-revolutionary-containerized-application-orchestration-platform-for-csps---ahasa-r,,,,,https://globalwavenet.com/blog-posts/wavenet-launches-a-revolutionary-containerized-application-orchestration-platform-for-csps---ahasa-r
Krishna,GNA University,http://www.gnauniversity.edu.in/,HIGH,VMware,Invalid Industry,AWS cloud,https://www.gnauniversity.edu.in/b-tech-in-computer-science-and-engineering-with-cloud-computing,,,,,https://www.gnauniversity.edu.in/b-tech-in-computer-science-and-engineering-with-cloud-computing
Krishna,Goethe Institut Indonesien,https://www.goethe.de/ins/id/en/index.html,LOW,VMware,Invalid Industry,AWS,https://www.goethe.de/prj/sff/en/aws.html,,,,,https://www.goethe.de/prj/sff/en/aws.html
Krishna,,,LOW,VMware,,AWS,https://www.going.cloud/solutions-billing-service,,,,,https://www.going.cloud/solutions-billing-service
